id_categoria,categoria,percentual
18,Categoria - 018,3.37
14,Categoria - 014,3.37
30,Categoria - 030,3.37
6,Categoria - 006,3.37
27,Categoria - 027,6.74
2,Categoria - 002,6.74
4,Categoria - 004,6.74
1,Categoria - 001,6.74
19,Categoria - 019,6.74
22,Categoria - 022,6.74
38,Categoria - 038,6.74
3,Categoria - 003,6.74
31,Categoria - 031,10.11
26,Categoria - 026,10.11
13,Categoria - 013,10.11
25,Categoria - 025,10.11
16,Categoria - 016,10.11
8,Categoria - 008,10.11
33,Categoria - 033,10.11
12,Categoria - 012,13.48
15,Categoria - 015,13.48
32,Categoria - 032,13.48
21,Categoria - 021,16.85
28,Categoria - 028,16.85
23,Categoria - 023,16.85
36,Categoria - 036,16.85
20,Categoria - 020,16.85
17,Categoria - 017,16.85
24,Categoria - 024,16.85
9,Categoria - 009,16.85
7,Categoria - 007,16.85
37,Categoria - 037,16.85
5,Categoria - 005,16.85
35,Categoria - 035,20.22
10,Categoria - 010,20.22
11,Categoria - 011,20.22
34,Categoria - 034,20.22
29,Categoria - 029,20.22
