id_filial,filial,id_municipio
3,Filial - 000003,1
883,Filial - 000883,1
231,Filial - 000231,2
96,Filial - 000096,3
257,Filial - 000257,3
94,Filial - 000094,3
89,Filial - 000089,3
331,Filial - 000331,3
99,Filial - 000099,3
1389,Filial - 001389,3
914,Filial - 000914,3
871,Filial - 000871,4
366,Filial - 000366,4
368,Filial - 000368,4
159,Filial - 000159,4
1738,Filial - 001738,4
547,Filial - 000547,4
790,Filial - 000790,4
329,Filial - 000329,4
313,Filial - 000313,4
273,Filial - 000273,5
539,Filial - 000539,5
12,Filial - 000012,5
1059,Filial - 001059,5
224,Filial - 000224,6
1051,Filial - 001051,6
526,Filial - 000526,6
1126,Filial - 001126,6
439,Filial - 000439,6
228,Filial - 000228,6
430,Filial - 000430,6
405,Filial - 000405,6
858,Filial - 000858,6
485,Filial - 000485,6
1088,Filial - 001088,6
1717,Filial - 001717,6
1680,Filial - 001680,6
4,Filial - 000004,6
127,Filial - 000127,6
1584,Filial - 001584,6
1085,Filial - 001085,6
884,Filial - 000884,6
494,Filial - 000494,6
143,Filial - 000143,8
141,Filial - 000141,8
1706,Filial - 001706,8
392,Filial - 000392,8
523,Filial - 000523,8
119,Filial - 000119,8
1292,Filial - 001292,8
1106,Filial - 001106,8
968,Filial - 000968,8
415,Filial - 000415,8
1450,Filial - 001450,8
38,Filial - 000038,8
487,Filial - 000487,8
867,Filial - 000867,8
730,Filial - 000730,8
875,Filial - 000875,8
451,Filial - 000451,8
1723,Filial - 001723,8
1445,Filial - 001445,8
344,Filial - 000344,8
1693,Filial - 001693,8
1107,Filial - 001107,8
76,Filial - 000076,8
1096,Filial - 001096,8
426,Filial - 000426,8
1098,Filial - 001098,8
880,Filial - 000880,8
789,Filial - 000789,8
90,Filial - 000090,8
1619,Filial - 001619,8
117,Filial - 000117,8
449,Filial - 000449,9
474,Filial - 000474,9
194,Filial - 000194,9
1081,Filial - 001081,9
750,Filial - 000750,9
1683,Filial - 001683,9
334,Filial - 000334,9
745,Filial - 000745,9
1258,Filial - 001258,11
1695,Filial - 001695,11
557,Filial - 000557,12
1679,Filial - 001679,12
21,Filial - 000021,12
599,Filial - 000599,12
839,Filial - 000839,12
1690,Filial - 001690,12
1654,Filial - 001654,13
1691,Filial - 001691,13
1442,Filial - 001442,13
872,Filial - 000872,13
1050,Filial - 001050,15
1684,Filial - 001684,16
1692,Filial - 001692,16
1274,Filial - 001274,16
804,Filial - 000804,16
229,Filial - 000229,16
364,Filial - 000364,16
600,Filial - 000600,16
908,Filial - 000908,16
74,Filial - 000074,16
435,Filial - 000435,16
489,Filial - 000489,19
534,Filial - 000534,19
184,Filial - 000184,19
346,Filial - 000346,19
488,Filial - 000488,19
544,Filial - 000544,20
1114,Filial - 001114,20
1587,Filial - 001587,20
420,Filial - 000420,20
1422,Filial - 001422,20
1299,Filial - 001299,20
1646,Filial - 001646,20
138,Filial - 000138,20
1156,Filial - 001156,20
1703,Filial - 001703,20
840,Filial - 000840,20
1433,Filial - 001433,20
1227,Filial - 001227,20
137,Filial - 000137,20
357,Filial - 000357,20
1380,Filial - 001380,20
1731,Filial - 001731,20
1726,Filial - 001726,20
276,Filial - 000276,20
342,Filial - 000342,20
652,Filial - 000652,20
1719,Filial - 001719,20
1044,Filial - 001044,20
693,Filial - 000693,20
416,Filial - 000416,20
621,Filial - 000621,20
679,Filial - 000679,20
442,Filial - 000442,20
385,Filial - 000385,20
1585,Filial - 001585,20
1655,Filial - 001655,20
182,Filial - 000182,20
1730,Filial - 001730,20
425,Filial - 000425,20
787,Filial - 000787,20
483,Filial - 000483,20
653,Filial - 000653,20
1372,Filial - 001372,20
1448,Filial - 001448,20
359,Filial - 000359,20
738,Filial - 000738,21
180,Filial - 000180,21
1658,Filial - 001658,21
1109,Filial - 001109,21
98,Filial - 000098,22
822,Filial - 000822,22
1579,Filial - 001579,22
921,Filial - 000921,22
763,Filial - 000763,22
869,Filial - 000869,22
1278,Filial - 001278,22
1657,Filial - 001657,22
9,Filial - 000009,22
1210,Filial - 001210,22
1346,Filial - 001346,22
1364,Filial - 001364,22
118,Filial - 000118,22
470,Filial - 000470,22
1384,Filial - 001384,22
531,Filial - 000531,22
88,Filial - 000088,22
223,Filial - 000223,22
765,Filial - 000765,22
1112,Filial - 001112,22
637,Filial - 000637,22
1221,Filial - 001221,22
1727,Filial - 001727,22
1721,Filial - 001721,22
538,Filial - 000538,22
1212,Filial - 001212,22
1340,Filial - 001340,22
1704,Filial - 001704,22
373,Filial - 000373,22
862,Filial - 000862,22
1662,Filial - 001662,22
782,Filial - 000782,22
1282,Filial - 001282,22
877,Filial - 000877,22
268,Filial - 000268,22
978,Filial - 000978,22
1167,Filial - 001167,22
620,Filial - 000620,22
1531,Filial - 001531,22
6,Filial - 000006,22
617,Filial - 000617,22
1320,Filial - 001320,22
1482,Filial - 001482,22
353,Filial - 000353,22
417,Filial - 000417,22
675,Filial - 000675,22
1580,Filial - 001580,22
664,Filial - 000664,22
919,Filial - 000919,22
363,Filial - 000363,22
625,Filial - 000625,22
146,Filial - 000146,22
464,Filial - 000464,22
1124,Filial - 001124,22
1252,Filial - 001252,22
1136,Filial - 001136,22
372,Filial - 000372,22
671,Filial - 000671,22
629,Filial - 000629,22
1623,Filial - 001623,22
480,Filial - 000480,23
1243,Filial - 001243,23
974,Filial - 000974,24
937,Filial - 000937,25
1225,Filial - 001225,26
1080,Filial - 001080,26
1052,Filial - 001052,26
604,Filial - 000604,26
522,Filial - 000522,26
1217,Filial - 001217,26
333,Filial - 000333,26
135,Filial - 000135,26
1029,Filial - 001029,26
740,Filial - 000740,26
1205,Filial - 001205,26
1245,Filial - 001245,26
100,Filial - 000100,26
930,Filial - 000930,26
1237,Filial - 001237,26
134,Filial - 000134,26
855,Filial - 000855,26
1532,Filial - 001532,26
1454,Filial - 001454,26
122,Filial - 000122,26
1483,Filial - 001483,26
1371,Filial - 001371,27
1318,Filial - 001318,27
680,Filial - 000680,27
1708,Filial - 001708,27
34,Filial - 000034,27
232,Filial - 000232,27
1064,Filial - 001064,27
349,Filial - 000349,27
1577,Filial - 001577,28
129,Filial - 000129,29
503,Filial - 000503,30
154,Filial - 000154,31
1016,Filial - 001016,31
354,Filial - 000354,31
1149,Filial - 001149,31
1017,Filial - 001017,31
1067,Filial - 001067,31
879,Filial - 000879,31
1084,Filial - 001084,31
1062,Filial - 001062,32
1120,Filial - 001120,34
698,Filial - 000698,34
1103,Filial - 001103,35
1694,Filial - 001694,35
233,Filial - 000233,35
431,Filial - 000431,35
1351,Filial - 001351,35
898,Filial - 000898,35
1248,Filial - 001248,35
918,Filial - 000918,35
999,Filial - 000999,35
1267,Filial - 001267,35
375,Filial - 000375,35
45,Filial - 000045,35
441,Filial - 000441,35
1012,Filial - 001012,35
1319,Filial - 001319,35
1479,Filial - 001479,37
211,Filial - 000211,38
446,Filial - 000446,39
1656,Filial - 001656,39
95,Filial - 000095,39
168,Filial - 000168,39
190,Filial - 000190,39
167,Filial - 000167,39
801,Filial - 000801,39
525,Filial - 000525,39
935,Filial - 000935,39
436,Filial - 000436,39
461,Filial - 000461,39
1722,Filial - 001722,40
1187,Filial - 001187,43
165,Filial - 000165,43
193,Filial - 000193,45
853,Filial - 000853,46
530,Filial - 000530,46
421,Filial - 000421,46
33,Filial - 000033,46
715,Filial - 000715,46
293,Filial - 000293,46
1440,Filial - 001440,46
1562,Filial - 001562,46
267,Filial - 000267,46
532,Filial - 000532,46
1421,Filial - 001421,46
1457,Filial - 001457,46
1664,Filial - 001664,46
1363,Filial - 001363,46
1724,Filial - 001724,46
1315,Filial - 001315,46
533,Filial - 000533,46
645,Filial - 000645,46
856,Filial - 000856,46
1009,Filial - 001009,46
938,Filial - 000938,46
387,Filial - 000387,46
699,Filial - 000699,46
1411,Filial - 001411,46
711,Filial - 000711,46
1707,Filial - 001707,46
1058,Filial - 001058,46
546,Filial - 000546,46
820,Filial - 000820,46
