id_municipio,municipio
1238,CAMPESTRE
2386,FLEXEIRAS
4548,NOVO AIRAO
136,ALGODAO (IBIRATAIA)
2227,ENTRE RIOS
3302,Itarantim
3586,LAFAIETE COUTINHO
3864,MALHADA DE PEDRAS
3898,MANSIDAO
5186,POJUCA
6188,SAO FELIX
7231,UBAIRA
113,ALCANTARAS
1599,CHOROZINHO
2220,ENGENHEIRO JOSE LOPES (SENADOR
2290,EUSEBIO
3193,ITATIRA
3407,JARDIM
3495,JUATAMA (QUIXADA)
3585,LADEIRA GRANDE (MARANGUAPE)
4824,PARAMBU
5559,RERIUTABA
6836,Sobral
7254,UMARIZEIRAS (MARANGUAPE)
526,Aguas Claras
530,Alegre
2549,GIRONDA (CACHOEIRO DE ITAPEMIR
6433,SAO MATEUS
7433,VILA PAVAO
5234,PORTEIRAO
5590,RIANAPOLIS
797,BEQUIMAO
893,BOM LUGAR
6289,SAO JOAO DO PARAISO
573,Araçuaí
798,BERILO
812,BIAS FORTES
1507,CATAS ALTAS DA NORUEGA
2044,DELTA
3096,ITAJUBA
3263,Inhapim
3731,LOBO LEITE (CONGONHAS)
3734,LONTRA
3975,MARIO CAMPOS
4008,MATA VERDE
4195,MONTE FORMOSO
5084,PINHEIRO GROSSO (BARBACENA)
5326,PRESIDENTE KUBITSCHEK
5464,QUARTEL GERAL
5675,RIO PIRACICABA
5743,RUBIM
5810,SALINAS
5974,SANTA RITA DO IBITIPOCA
6936,TAIOBEIRAS
7261,UNAI
2728,Glória de Dourados
6680,SETE QUEDAS
4449,NOVA BANDEIRANTES
4146,MOJU
4989,PEIXE-BOI
1700,CONDADO
5171,POCO DANTAS
5189,POMBAL
742,BATATEIRA
3299,Itapissuma
6174,SAO DOMINGOS (BREJO DA MADRE D
1533,CAXINGO
4018,MATIAS OLIMPIO
250,ANAHY
491,ASTORGA
538,Altônia
949,BRAGANEY
1242,CAMPINA DA LAGOA
1659,COLORADO
2212,ENEAS MARQUES
2911,ILHA DO MEL (PARANAGUA)
3107,ITAMBARACA
3599,LAGOA (TELEMACO BORBA)
4325,Maringá
4445,NOVA AMERICA DA COLINA
4473,NOVA ESPERANCA DO SUDOESTE
4899,PATO BRAGADO
5622,RIO AZUL
6798,Santo Antônio da Platina
6882,São José dos Pinhais
7373,VERA CRUZ DO OESTE
471,ARROZAL (PIRAI)
3672,LARANJAIS (ITAOCARA)
4078,MIGUEL PEREIRA
7456,VISCONDE DE IMBE (TRAJANO DE M
7045,TIBAU DO SUL
4685,OURO PRETO DO OESTE
268,ANDRE DA ROCHA
846,BOA VISTA DO CADEADO
1478,CASCA
1841,CRUZ ALTA
2541,GENTIL
3874,MAMPITUBA
4209,MONTENEGRO
4984,PEDRO OSORIO
5734,ROSARIO DO SUL
6678,SETE DE SETEMBRO
6903,São Sebastião Do Cai
86,AGUAS MORNAS
1297,CAMPOS NOVOS
1386,CAPIVARI DE BAIXO
1778,CORREIA PINTO
5667,RIO NEGRINHO
7332,VARGEAO
3677,LARANJEIRAS
5731,ROSARIO DO CATETE
7571,carira
545,Amparo
580,Assis
646,BARAO DE ANTONINA
1935,Campo Limpo Paulista
1987,Caçapava
2020,Cotia
2193,ELEUTERIO (ITAPIRA)
2985,IPEUNA
3211,ITOBI
3304,Itatiba
3786,Laranjal Paulista
4487,NOVA INDEPENDENCIA
4789,PANORAMA
5069,PINDORAMA
5162,PLATINA
5258,PORTO FERREIRA
5332,PRESIDENTE PRUDENTE
5460,QUADRA
6091,SANTO ANTONIO DO ARACANGUA
6268,SAO JOAO DAS DUAS PONTES
6407,SAO LOURENCO DA SERRA
6427,SAO MANUEL
